High,Low,Volume,Close,Open,5SMA,30SMA,200SMA,CornClose,OilPrices,Volatility,MACD,adjUSDollarIndex,AvgTrueRange,DiscreteProfit
-1.616951124,-1.578279062,-0.691761762,-1.578487592,-1.608053897,-1.602122237,-1.758887518,-1.819265894,1.825299649,0.983543023,-0.696907446,0.545691563,-0.973543319,-0.914498635,1
-1.60586545,-1.563679059,-0.944667238,-1.578149799,-1.581991349,-1.58642663,-1.74741191,-1.812720846,1.975719697,0.953224094,-0.708304366,-0.134828652,-0.962077135,-0.992294016,1
-1.533087256,-1.529901771,-0.157794277,-1.498268267,-1.574042448,-1.562907359,-1.734575581,-1.805799431,1.925579681,0.926695379,-0.645621303,-0.456480785,-0.987558011,-0.891318246,1
-1.483009928,-1.467599127,0.129307437,-1.457579832,-1.499950115,-1.537738379,-1.717732382,-1.799181277,1.900509673,0.934275048,-0.634224383,-0.052421908,-1.121334999,-0.88176825,0
-1.487733192,-1.458348105,-0.078213967,-1.49764153,-1.456882438,-1.514778709,-1.703229199,-1.793322053,1.875439665,0.957014055,-0.560144399,-0.904667146,-1.099675292,-0.845058286,1
-1.454187881,-1.439797245,-0.182355746,-1.415686764,-1.483956457,-1.482200937,-1.684927528,-1.787071403,1.875439665,0.984806048,-0.736796668,-0.890312423,-1.104771544,-0.819292457,0
-1.428305817,-1.386456821,-0.420535845,-1.421375061,-1.420077084,-1.450829035,-1.668384045,-1.780714422,1.925579681,1.005018751,-0.57439055,-1.163583821,-1.179941765,-0.836702029,1
-1.418232104,-1.390552376,-0.077595616,-1.407539192,-1.417716584,-1.432673406,-1.652268493,-1.774205252,1.850369657,0.978489784,-0.474667495,-0.64575047,-1.192682267,-0.876792863,0
-1.359190098,-1.457095268,1.141073145,-1.474115667,-1.402348625,-1.435982363,-1.641430776,-1.767773398,1.975719697,0.92164214,-0.346452139,-0.558558818,-1.235999896,-0.653750929,0
-1.511880216,-1.521324815,0.543559331,-1.497448507,-1.487954725,-1.435943737,-1.632272719,-1.762024491,1.975719697,0.926695379,-0.275221385,-0.603749613,-1.229630219,-0.662704662,0
-1.539449078,-1.514820041,-1.163994828,-1.501835661,-1.511800843,-1.453182833,-1.62253608,-1.756367516,2.025859713,0.911535915,-0.298015226,-1.197078176,-1.242370593,-0.582422199,1
-1.421702776,-1.438929666,-0.158355107,-1.451408976,-1.483089057,-1.459192864,-1.605274571,-1.750636553,2.075999729,0.948171108,-0.15840295,-0.751018441,-1.235999896,-0.431008947,0
-1.506723337,-1.499545385,0.028214271,-1.507813495,-1.464108606,-1.479258569,-1.593447953,-1.745184042,2.000789705,0.888797161,-0.058679895,-1.208242961,-1.132801183,-0.332222736,1
