Date,High,Low,Volume,Close,Open,5SMA,30SMA,200SMA,CornClose,OilPrices,Volatility,MACD,adjUSDollarIndex,AvgTrueRange,DiscreteProfit
5/22/2013,1687.180054,1648.859985,4361020000,1655.349976,1669.390015,1661.747998,1607.317659,1482.328447,2.2,21.879999,13.82,-6.82,80.620003,14.14572579,0
5/23/2013,1655.5,1635.530029,3945510000,1650.51001,1651.619995,1661.756006,1609.222327,1483.626047,2.2,21.92,14.07,-7.67,80.669998,14.08143836,0
5/24/2013,1649.780029,1636.880005,2758080000,1649.599976,1646.670044,1658.182007,1611.247327,1484.902897,2.22,21.799999,13.99,-18.83,80.57,14.65786307,1
5/28/2013,1674.209961,1652.630005,3457400000,1660.060059,1652.630005,1656.936011,1614.837329,1486.196447,2.24,22.09,14.48,-10.44,80.620003,15.74500386,0
5/29/2013,1656.569946,1640.050049,3587140000,1648.359985,1656.569946,1652.776001,1617.296997,1487.427147,2.21,21.620001,14.83,-19.04,81.43,16.45428471,1
5/30/2013,1661.910034,1648.609985,3498620000,1654.410034,1649.140015,1652.588013,1620.710331,1488.685197,2.2,21.719999,14.53,-0.02,81.839996,16.57071364,0
5/31/2013,1658.98999,1630.73999,4099600000,1630.73999,1652.130005,1648.634009,1623.681331,1489.809547,2.23,21.27,16.299999,-11.21,82.32,17.87500007,1
6/3/2013,1640.420044,1622.719971,3952070000,1640.420044,1631.709961,1646.798022,1626.520333,1490.991097,2.24,21.639999,16.280001,-3.97,82.43,18.47786171,0
6/4/2013,1646.530029,1623.619995,3653840000,1631.380005,1640.72998,1641.062012,1628.816333,1492.128347,2.22,21.68,16.27,15.27,82.580002,18.87500871,0
6/5/2013,1629.310059,1607.089966,3632350000,1608.900024,1629.050049,1633.170019,1629.820333,1493.145197,2.23,21.74,17.5,3.28,82.949997,19.55215893,1
6/6/2013,1622.560059,1598.22998,3547380000,1622.560059,1609.290039,1626.800024,1631.279334,1494.180447,2.21,21.969999,16.629999,-14.11,82.910004,20.439305,1
6/7/2013,1644.400024,1625.27002,3371990000,1643.380005,1625.27002,1629.328027,1633.219999,1495.306547,2.22,22.360001,15.14,-14.19,83.169998,20.78501679,0
6/10/2013,1648.689941,1639.26001,2978730000,1642.810059,1644.670044,1629.80603,1635.239002,1496.429947,2.22,22.26,15.44,-1.37,82.980003,20.79287286,0
6/11/2013,1640.130005,1622.920044,3435710000,1626.130005,1638.640015,1628.75603,1636.323002,1497.494747,2.16,22.110001,17.07,9.41,83.540001,21.33787321,0
6/12/2013,1637.709961,1610.920044,3202550000,1612.52002,1629.939941,1629.48003,1636.821338,1498.489897,2.2,22.27,18.59,-12.24,83.230003,20.51429093,1
6/13/2013,1639.25,1608.069946,3378620000,1636.359985,1612.150024,1632.240015,1638.610006,1499.661298,2.15,22.459999,16.41,-3.3,84.419998,21.31501114,0
6/14/2013,1640.800049,1623.959961,2939400000,1626.72998,1635.52002,1628.91001,1639.58134,1500.739297,2.16,22.77,17.15,-16.21,84.199997,21.54430279,1
6/17/2013,1646.5,1630.339966,3137080000,1639.040039,1630.640015,1628.156006,1640.402006,1501.882298,2.17,22.780001,16.799999,-29.82,84.580002,21.198591,1
